125
t_index,tf-idf
1,0.03906018762928562
13,0.04388801919117773
276,0.11849372138891145
655,0.05640052764570948
937,0.043170640939538096
1907,0.08115022340014774
2039,0.05807014554362047
2062,0.2744343161792933
2136,0.052091333746492184
2233,0.10725220835127602
2831,0.057875914777675334
2993,0.04994261422439155
3152,0.057875914777675334
3376,0.06416472528522042
3484,0.04742568428724145
3530,0.07404257201232749
3652,0.08813669309007982
3654,0.09365726501197008
3902,0.09084598878282747
5120,0.09410048119450662
5299,0.08581587285939847
5446,0.05605173839407288
5482,0.04309285625752115
5577,0.08813669309007982
5753,0.05993158346023984
5836,0.04012302363473061
5844,0.07404257201232749
6018,0.08476918227600516
6108,0.05846572796246636
6226,0.0622861562007343
6985,0.04332733853642513
6990,0.0473246367633998
7178,0.08476918227600516
7354,0.09157609855074034
7401,0.08378596760578085
7691,0.1036332494754186
7828,0.08378596760578085
7992,0.07074058886360512
8000,0.0703193164740597
8246,0.049022192782106865
8281,0.08285896815687119
8298,0.052227050648200275
8304,0.040318032899421194
8370,0.05410322892040059
8674,0.0636054258913903
9166,0.09239173643778317
9245,0.13130733402961792
9310,0.07512417773323514
9374,0.06955447641823904
9431,0.07254445456814541
9695,0.07161745511923577
9746,0.09601069531364059
9812,0.047836290398788825
9834,0.056756983205742906
9956,0.05018111962735821
10039,0.08943483173525589
10249,0.17886966347051178
10325,0.046442469617017125
10332,0.05236391285375487
10357,0.04340625876569458
10428,0.07753126452429032
10839,0.30108671776414925
11065,0.04869007042260441
11354,0.0803589408529462
11384,0.12308642740911296
11464,0.03248432405090092
11475,0.03459241484007367
11883,0.22405112678218725
11925,0.07161745511923577
11966,0.09084598878282747
12429,0.05894743412767438
12489,0.06333284678412761
12756,0.04994261422439155
12823,0.09817631746896634
12927,0.040318032899421194
13061,0.027578402417603683
13062,0.04211420684421971
13072,0.12213235420992043
13313,0.06280105897469204
13423,0.08476918227600516
13493,0.05335571988185515
13558,0.12075188416320065
13601,0.07628310457848649
13725,0.05971388790827019
13938,0.1272108517827806
14202,0.1036332494754186
14442,0.09410048119450662
14521,0.09601069531364059
14927,0.03468456324201942
14932,0.03893960658972278
15196,0.11849372138891145
15221,0.11461360223443001
15224,0.07161745511923577
15504,0.09601069531364059
15514,0.07628310457848649
15556,0.08285896815687119
15737,0.102343688808549
16109,0.08813669309007982
16241,0.05846572796246636
16301,0.057683982654652556
16358,0.07689518005244439
16373,0.11191785781052675
16460,0.25225909329416984
16499,0.07254445456814541
16755,0.06333284678412761
16993,0.11191785781052675
17250,0.049022192782106865
17330,0.06226084239134805
17334,0.052227050648200275
17402,0.13901648743364572
17412,0.054256955901817915
17716,0.05472707795212527
18342,0.08581587285939847
18548,0.0659685909897607
18635,0.06836296270755661
18676,0.09410048119450662
18699,0.03800593440872497
18771,0.0466344017400399
18918,0.06333284678412761
18922,0.12835618616536182
18927,0.052641151657964284
18929,0.05250193985803956
18943,0.07457435982176304
19036,0.03335446778825437
19082,0.050793195101316115
